tAtm,Prec,rSoil,rRoot,hCritA,rB,hB,ht
643,0,0.0347646,0,100000,0,0,0
644,0,0.0292329,0,100000,0,0,0
645,0,0.0274856,0,100000,0,0,0
646,0,0.0309005,0,100000,0,0,0
647,0,0.030289,0,100000,0,0,0
648,0,0.0640342,0,100000,0,0,0
649,0.3048,0.0336886,0,100000,0,0,0
650,0,0.0258926,0,100000,0,0,0
651,0,0.0260575,0,100000,0,0,0
652,0,0.0329418,0,100000,0,0,0
653,0,0.0255394,0,100000,0,0,0
654,0,0.0246203,0,100000,0,0,0
655,0,0.0279452,0,100000,0,0,0
656,0,0.029462,0,100000,0,0,0
657,0,0.039926,0,100000,0,0,0
658,0,0.0512681,0,100000,0,0,0
659,0,0.0262242,0,100000,0,0,0
660,1.1938,0.0107192,0,100000,0,0,0
661,0.1524,0.00883768,0,100000,0,0,0
662,0,0.0205597,0,100000,0,0,0
663,0,0.0291228,0,100000,0,0,0
664,0,0.0290991,0,100000,0,0,0
665,0,0.0509801,0,100000,0,0,0
666,0,0.0692937,0,100000,0,0,0
667,0,0.0522302,0,100000,0,0,0
668,0,0.0665936,0,100000,0,0,0
669,0,0.0585765,0,100000,0,0,0
670,0,0.0228333,0,100000,0,0,0
671,0.1778,0.009487,0,100000,0,0,0
672,0,0.0148057,0,100000,0,0,0
673,0,0.0395819,0,100000,0,0,0
674,0.254,0.0318429,0,100000,0,0,0
675,0,0.00813146,0,100000,0,0,0
676,0.1016,0.00388925,0,100000,0,0,0
677,0.1016,0.00593917,0,100000,0,0,0
678,0.2286,0.00448909,0,100000,0,0,0
679,0,0.00434594,0,100000,0,0,0
680,0,0.00817501,0,100000,0,0,0
681,0,0.0116566,0,100000,0,0,0
682,0,0.00868052,0,100000,0,0,0
683,0,0.00876272,0,100000,0,0,0
684,0,0.00851009,0,100000,0,0,0
